true_answer,model_response
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:
Options:
A) Chi square test
B) Paired T-test
C) Student's T-test
D) Fischer exact test
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g. Students t -test is used when we have to compare means (mean weight in this case). It assumes that the population distribution is normal. If it is not normally distributed then non parametric tests like Mann-Whitney U Test should be done. Ref : Park 23rd edition Pgno : 852
Hence, the correct answer is C (Student's T-text). (Ref: Medical biostatistics by B.K Mahajan 3rd ed/ pg no 210)
The table below shows the results of an experiment designed to determine if there was a significant difference between the mean systolic blood pressure of patients with high cholesterol who were treated with drug A versus those who were administered a placebo.

| |Drug A             Placebo        
------------------|---------------|-------------
Mean Blood Pressure              140                      120
Standard Deviation                 10                         8

What statistical procedure would you use to analyze these data?
a. Analysis of variance
b. Independent samples t-test
c. Dependent samples t-tests
d. Correlation coefficient
e. Regression analysis
f. None of the above

Explanation: This problem involves testing hypotheses regarding differences between group means. Since the"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which vitamin is required for glycogen Phosphorylase?
Options:
A) PLP
B) TPP
C) Riboflavin
D) Lipoic acid
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g TPP (Thiamine pyrophosphate)
Hence, the correct answer is B (TPP). (Ref: Harper's illustrated biochemistry 30th edition page no 179 table 14-1).
 
Glycogen phosphorylases catalyze the rate-limiting step in glycolysis by cleaving α(1→4)-glycosidic bonds between glucose residues of glycogen to produce linear glucan oligosaccharides with free aldehyde groups at their reducing ends. The reaction requires Mg2+ ions and occurs via an enol intermediate that forms through deprotonation of C-1 of glucose by thiamin diphosphate (vitamin B1), which acts as coenzyme.

The enzyme has two domains:

* A smaller N-terminal domain contains the active site where substrate binding takes place; this domain also binds the cofactor thiamine diphoshate (vitamine B1);
* A larger C-terminal domain provides structural support to the protein and helps position the substrate correctly within the active-site cleft

Phosphoglucomutase converts Glucose -6-phosphate into Glyceraldehyde -3 phosphate + UDP-Glc.
This conversion involves the formation of a high energy compound"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following is the only complete cailage ring in the respiratory tree?
Options:
A) Cricoid cailage
B) Thyroid cailage
C) Cunieform cailage
D) Epiglottis
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Ans. (a) Crcioid caiilageRef: Gray's Anatomy 41st ed. / Chapter 9* The cricoids cartilage forms the lowest part of larynx.* It lies at the level of sixth cervical vertebrae.* It has an annular shape with its anterior surface being convex and posterior one concave.* Its upper border articulates with thyroid cartilage to form aryteno-epiglotti n joint which allows rotation on transverse axis.* Lower border gives attachment to vocal ligament.* Posteriorly it is related to parathyroid IV gland and inferior constrictor muscle of pharynx.CRICOID CARTILAGE* Only complete cartilaginous ring in larynxx* Forms lowermost part of lamina* Articulates superiorly with thyroid cailages* Inferiorly - no articular facet* Gives origin to intrinsic muscles of larnyx* Has two lateral projections called cornua that give attachments to arytenoid caitiges* At junction between first & second tracheal rings
Hence, the correct answer is A (Cricoid cailage). (b) Thyrohyoid membrane.(c) Lateral pa of thyrohyroid membrane.("
D,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: In Erythroblastosis fetalis not involved is –
Options:
A) Anti C
B) Anti D
C) Anti E
D) Anti Lewis
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g) The most common cause of fetal anemia in Rh isoimmunization (anti-D antibody). Other antibodies include anti-C, -E, -K, -G, -Jka, -M, -S, -Yt, and less commonly, anti-LW and anti-cw. Rarely, patients with multiple red cell antigens may have severe disease due to combined sensitization. Fetal loss can occur if maternal levels exceed 1 :8. Maternal titer should be checked at least every trimester until delivery. If it reaches 1:16, weekly monitoring by Doppler ultrasound is recommended. A decrease in peak systolic velocity >3 cm/s indicates significant fetal anemiag. Ultrasound evaluation includes assessment of amniotic fluid volume, middle cerebral artery flow velocities, and cardiac function. Amniocentesis provides information on direct Coombs test positivity and allows quantification of bilirubin level. Cordocentisis assesses hematocrit directly but carries risks of hemorrhage and karyotype abnormalities. Reference : page 1019 Williams Obstetrics 24th edition
Hence, the correct answer is D (Anti Lewis). Explanation: Most common cause → Anti D
Most common antigen causing hemolytic"
D,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: In a child with active liver failure, the most important prognosis factor for death is –
Options:
A) Increasing transaminases
B) Increasing bilirubin
C) Increasing prothrombin time
D) Gram (–)ve sepsis
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g) - Harrison says ""The presence of infection in patients with acute hepatic failure has been shown to be an independent predictor of mortality"".
Hence, the correct answer is D (Gram (– ) ve sepsi ). Explained on next page.
Hence among all these factors gram negative sepsia is the most impoant prognostic indicator of moality in children with Acute Liver Failure.
Acute liver failure

It refers to rapid deterioration of previously healthy person within 6 months of onset of jaundice, characterized by encephalopathy & coagulopathy (prolonged PT >50 sec).
Infectious hepatitis does not cause acute liver failure because it develops insidiously over weeks rather than days.

Causes of Acute liver Failure -

Drugs → Paracetamol overdose (most common), acetominophen, amiodarone, methyldopa, chlorpromazine, phenytoin, valproate, tetracycline, erythromycin estolate, sulfonamide, isoniazide, ketoconazole, diclofenac, disulfiram, oral contraceptives, vitamin A, Cephalosporins, Estrogens, Phenytoin"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A patient went into shock immediately after normal delivery, likely cause:
Options:
A) Amniotic fluid embolism
B) PPH
C) Uterine inversion
D) Eclampsia
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 giving immediate answer is always better than giving no answer at all
Hence, the correct answer is C (Uterine invasion). (Ref: Williams Obs 24/e p 819-820; Dutta obs 7/e p  365)
Amniotic Fluid Embolism

It occurs when fetal cells enter maternal circulation through umbilical vein → Right heart & pulmonary artery → Pulmonary edema & ARDS
Clinical features:

Sudden onset of dyspnea, cyanosis, tachycardia, hypotension, convulsions, collapse within minutes to hours after delivery
Diagnosis is made by presence of meconium in maternal blood.

Management

Supportive care with oxygenation, ventilation, volume replacement, vasopressors, diuretics, steroids etc.
Prognosis very poor - mortality rate >50%
Treatment should be directed towards maintaining adequate cardiac output & oxygen saturation.
Intravenous fluids, dopamine, dobutamine may help maintain BP & cardiac function.
Steroids may reduce capillary permeability & inflammation.
Anticoagulants have been used but their role unclear.
Pulmonary edemais managed conservatively with furosemide.
Vasodilators like nitropruss"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: A patient presented with flat topped violaceous papules, thinning of nails and onycholysis. What is the microscopic finding observed in this patient?
Options:
A) Prominent necrotic cell
B) Suprabasal split
C) Basal cell degeneration
D) Acantholysis
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g. i.e. (Suprabasal Split): (108-109-Harsh Mohan 5th)* The clinical features described above suggest that it may be a case of lichen planus* LICHEN PLANUS - Characterized by Tzank smear showing suprabasilar acantholytic cells**Clinical Features1. Pruritic polygonal purple papule2. Violacious colour3. Wickhams striae - white lines seen at the edge of lesion4. Oral lesions - red/white reticular patches5. Nail involvement - pterygium formation6. Koebner's phenomenon7. Hyperkeratosis8. Atrophy9. Hypopigmentation10. Vitiligo like depigmented macular patch*** Histopathological findings include:-i. Sub basal mucin depositionii. Colloid bodiesiii. Focal vacuolation of basal layeriv. Clefts between epidermis & dermavis. Band-like lymphocytic infiltratev. Hypergranulosisvi. Parakeratotic stratum corneumvii. Irregular elongation of rete ridgesviii. Pigmentary changesix. Melanophagesx. Dermal oedema
Hence"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?
Options:
A) High level expe group of universal health program for india
B) Central bureau of health investigation
C) Srivastava committee
D) Sundar committee
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g. The high-level Expe Group on Universal Health Coverage (UHC), constituted by Ministry of Health & Family Welfare, Government of India, under Chairmanship of Dr. K. Srinath Reddy, President, Public Health Foundation of India (PHFI). It was set up to develop recommendations for achieving UHC in India by 2012. This is an impoant step towards strengthening primary healthcare system in our country. The Committee submitted its report in June 2006. Some key Recommendations made by this Committee include:- i. Strengthening Primary Healthcare System ii. Improving Access to Care iii. Increasing Efficiency iv. Enhancing Effectiveness v. Ensuring Financial Protection vi. Promoting Social Determinants of Health vii. Building Capacity viii. Encouraging Community Participation ix. Monitoring Progress x. Review Mechanism xi. Resource Allocation xii. Implementation Strategy
Hence, the correct answer is A (High level ex pe group of...). (Ref: Park's textbook of PSM 22nd edition page no. 8)
://www.pphindia.org/healthcare/universal-health-coverage.php
The National Rural Health Mission (NRHM) was launched in April 2005 with the objective of providing"
D,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which one of the following is a muscle splitting incision?
Options:
A) Kocher's incision
B) Rutherford-Morrison incision
C) Pfannenstiel incision
D) Lanz incision
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g. The pfannensteil incision is an oblique suprapubic skin incision that splits the rectus abdominis muscles to access the pelvic organs. It can be extended superiorly into the subcostal region if needed. This approach has been used in gynecologic surgery since the late nineteenth century. In modern times it is most commonly performed during cesarean section when there is no need to open the upper abdomen. Other uses include hysterectomy, sacrocolpopexy, and repair of uterine prolapse. Complications may occur with this type of abdominal wall incision including wound infection, seroma formation, hematoma, hernia, adhesions, and bowel injury. These complications have decreased significantly over time due to improvements in surgical technique and postoperative care. Ref : https://www.ncbi.nlm.nih.gov/pmc/aicles/PMC4441116/
Hence, the correct answer is C (Pfannenstiels incision). (Ref: Sabiston Textbook of Surgery, 20th Edition, Page 1077)
The list below shows some common types of Abdominal Wall Incisions:

Kocher’s / Rothman’s incision – Muscle cutting transverse incision above umbilicus"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which of the following blade angle is appropriate for scaling and root planing
Options:
A) A
B) B
C) C
D) D
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g The correct answer here would be B i.e., Gracey’s #7/8 blades which have an angled tip (15° to 20°). These are used in interproximal areas where access is limited.

Gracey's Blades

Blade Angle Blade Use
#1 & #2 Straight edge Used for sulcular debridement and supragingival instrumentation
#3 & #4 Angled at 45° Used for gingivectomy, flap procedures, crown preparations, and hemisection
#5 & #6 Angled with curved cutting edges Used for pocket preparation and removal of granulation tissue
#7 & #8 Angled tips (15-20°) Used for interdental area
Hence, the correct answer is B (B). (Ref: Sturdevant operative dentistry 4th ed pg 168)
Note - The image shows different types of dental scalers but it doesnot show graceys no. 7&8 blades.
Hence the correct answe is B. (B ).(Ref:Sturdevants Operative Dentistry 5th edition page 169).
Explanation: Scaling and Root Planing:

Scaling removes plaque biofilm and calculus deposits on teeth both above and"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: Which pa of brachial plexus do not give branches
Options:
A) Root
B) Division
C) Cord
D) Trunk
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g Branches arise in order : root, division, cord, trunk. The roots of the plexuses lie between scalenus anterior medially & subclan muscle laterally. Each root is formed by union of C5 - T1 spinal nerves ( sometimes C4 may also be involved ).
Hence, the correct answer is A (Root). (Ref : BDC vol2 pg 71)
The divisions are three in number :- superior, middle & inferior. These pass downwards & backwards to form cords which then divide into terminal branches. { BD chaurasia vol 3}
Hence the correct ans is A i.e. Root
Note : Branches arises at different levels :
-        Roots → First level branch
-        Divisions → Second level branchs
-       Cords → Third level branches
-      Trunks → Fourth level branches

BD Chaurasia Vol 3 Pg no 72
BD Chourasia Vol I Pd No 68
Anatomy of upper limb & thorax Vishram Singh page no 52
Gray's anatomy 40th edition Page no 436
BD CHAURASIA'S HUMAN ANATOMY UPPER LIMB AND THORAX VOLUME-2 SIX"
A,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: If the Rb gene phosphorylation is defective, which of the following will happen?
Options:
A) Cell cycle will stop at GI phase
B) Cell cycle will stop at G2 phase
C) The cell cycle will progress and the cell will divide
D) There will be no effect on cell cycle as for Rb gene phosphorylation is not needed
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g The retinoblastoma protein (Rb), encoded by the RB1 locus located on chromosome band 13q14, is an impoant tumor suppressor that regulates progression through the cell cycle. 
hence it acts to prevent uncontrolled proliferation in cells.

Reference-Robbins basic pathology 9th edition pg-86
Hence, the correct answer is C (The cell cycle will progress and tbe cell will divide). (-a). (Ref Robbins 8/e p87; fig 3-7)
Hence the correct Answer is C ((The cell cyele wil! progress and tb e cel l wi ll dive). (- Ref : Robbin's Basic Pathology 9/e p88 ). Explanation: Retinoblstomma Protein It was first identified because mutations in this gene cause familial retin oblastomas. But now we know that loss of function of this protein can lead to many different types of cancer. This protein binds to E2F transcription factors and prevents them from turning on genes required for DNA synthesis and mitosis. When the normal allele of the RB gene is lost, the remaining mutant copy cannot bind to E 2 F, so these proteins go ahead with their job of promoting"
C,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: The cells which will proliferate from top to bottom of villi are:
Options:
A) Chief cells
B) Goblet cells
C) Paneth cells
D) Parietal cells
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 gut epithelium is replaced every three days by mitosis in crypts of leiberkuhn.the stem cell located at base of crypts give rise to all types of gut epithelial cells except paneth cells,which arise from chief cells Ref : guyton and hall textbook of medical physiology 12 edition page number: 410,411,412
Hence, the correct answer is A (Chief cells). (Ref: Guyton Physiology 10th ed pg 409-413; Ganong's Review of Medical Physiology 23rd Ed Ch. 25.)The intestinal mucosa has many finger-like projections called villi that increase its surface area. Each villus contains capillaries, lymphatic vessels, nerve fibers, smooth muscle bundles, and glands called the crypts. These structures have their own blood supply, so they can absorb nutrients independently of one another.The intestinal wall also contains numerous folds called plicae circulares, especially prominent in the jejunum. In addition, there may be circular folds within the lumen of the intestine itself, particularly in the proximal small bowel.Both these features serve to increase the absorptive surface area of the intestines.In humans, the total length of the gastrointestinal tract is approximately 9 meters"
B,"You are a helpful assistant. Take a deep breath. Read the following question carefully.
Question: What is the usual weight of rabbit used in ophthalmological experiments?
Options:
A) 0.5-1 kg
B) 1.5-2.5 kg
C) 5-7 kg
D) 10-12 kg
First, think about the reason for each option. Then, choose the single best option from the given 4 options only and provide the response as 'A', 'B', 'C', or 'D'. Do not choose any other option.
### Response:
 g of rabbits weighing between 1–3 kg (0.25 to 0·75 lb), with an average body weight of approximately 2 kg (4·4 lb).
Hence, the correct answer is A (0.5 -1 kg). (Ref: Textbook of Ocular Pharmacology by Sunita Agarwal; Page No: 6)
Explanation: Rabbits have been widely employed in ocular research because they share many similarities with humans regarding anatomy, physiology, immunologic responses, and pathophysiology of eye diseases. The most commonly used species for ocular studies is New Zealand white albino rabbits that weigh between 2 and 3 kilograms at maturity. They can be obtained from commercial suppliers such as Charles River Laboratories Inc., Harlan Sprague Dawley Inc., Taconic Farms Inc., and Covance Research Products Inc.
Reference : Wikipedia page on Rabbit
Hence the correct answe is A (.5 - 1 Kg). Ref : Text book of Oculopharmacology By Sunitaa Agrawal,page no 6
Ocular pharmacology By Ramanjit Sihota & Sumi Jain,Page no 8
Text Book Of Clinical Opthalmology By V K Sharma,"
